Name	Intensity 01_IKA_0h_batch5	Intensity 02_IKA_0h_batch6	Intensity 03_IKA_0h_batch7	Intensity 04_IKA_2h_batch1	Intensity 05_IKA_2h_batch3	Intensity 06_IKA_2h_batch4	Intensity 07_IKA_6h_batch1	Intensity 08_IKA_6h_batch3	Intensity 09_IKA_6h_batch4	Intensity 10_IKA_12h_batch1	Intensity 11_IKA_12h_batch3	Intensity 12_IKA_12h_batch4	Intensity 13_IKA_18h_batch1	Intensity 14_IKA_18h_batch3	Intensity 15_IKA_18h_batch4	Intensity 16_IKA_24h_batch1	Intensity 17_IKA_24h_batch3	Intensity 18_IKA_24h_batch4
Nsun2	27.51126163	27.21354495	23.46363612	25.35507951	27.77240942	28.14870233	28.04864019	28.85875393	26.92818328	25.20299425	26.4054691	26.12182785	26.02438912	27.04635202	26.66098538	25.54654337	25.69911744	23.33155992
Nt5c2	24.40795026	23.62343769	21.77515049	21.83980505	23.46923738	22.53202864	23.69561742	23.9995514	21.80084778	21.60172908	21.94467346	22.42378069	22.54526523	23.99610657	23.71628193	20.89185785	20.92332168	17.90253999
Nucb1	25.33671003	25.01682325	22.86889413	23.98606979	25.52136201	24.9323348	24.7267121	25.01835234	23.09250489	22.28333822	21.90249583	21.86559434	24.33681217	26.00142108	25.68088829	23.29935896	22.84034306	20.67107107
Nucks1	26.07400243	23.6869903	24.69885258	23.09894256	24.39734718	22.25715646	24.24865552	24.35056803	19.56696079	21.52640372	22.61187042	19.67148578	26.92082113	26.15830828	25.9452988	22.73603521	23.62644876	20.12351016
Nudc	25.6590262	26.76369907	23.66535674	24.8624951	26.43444014	26.31506551	26.81580015	26.98554874	21.75311553	22.38213321	23.10158975	23.91223371	25.26853029	26.80230316	26.35299387	23.12194638	23.8374008	20.28827582
Nudcd2	24.53611439	24.60337144	16.95968504	22.82741404	22.56099514	22.0146117	23.82822793	24.31001083	19.95162622	21.59281651	21.72816632	21.21886355	16.95968504	23.83412457	23.836149	18.38957253	16.95968504	16.95968504
Nudt21	22.85764392	24.78176791	20.0694655	20.0694655	25.81811872	25.81330659	26.17174931	26.58376822	20.56206724	24.03296652	24.69280064	23.67454488	20.0694655	20.0694655	20.0694655	23.29963845	24.02436799	21.72246569
Nudt5	24.9612423	22.95578185	19.8996667	23.16124877	24.82725896	25.45145639	26.87267488	26.1467812	23.54886705	22.41655737	24.1596946	23.52778815	19.8996667	19.8996667	19.8996667	22.47862349	22.15872432	19.8996667
Nup133	22.65717886	23.77424576	17.91239819	21.19364086	23.85813736	24.19294894	23.69667893	24.63516766	22.95262182	17.91239819	20.94456623	19.73611781	21.74644707	23.44846621	22.15428041	21.70252444	22.06693926	19.75131849
Nup155	23.77112511	21.35600699	22.89810978	22.14011704	26.37686489	26.39608982	26.54150078	27.12030576	24.84866611	22.27426553	23.39923932	23.34326597	20.88524355	23.38811191	23.69178952	24.1626169	23.68752434	20.88524355
Nup210	25.58737832	25.78723442	23.645924	22.57181929	26.87572423	27.07979091	27.86649782	27.63339483	24.85505057	24.22221414	24.42290862	23.33606302	20.9001386	23.95064773	22.37010096	24.90967265	25.03573746	22.09432644
Nup214	23.36626351	22.8083507	19.87937684	20.9721805	23.77193109	23.79620046	23.11827512	23.79342471	21.53245676	16.95367357	21.18077117	18.18243315	22.63278491	21.32871437	21.37612963	20.37517522	20.51200353	16.95367357
Nup35	23.03168842	23.72077614	21.7127604	22.50506428	24.55964222	22.68423154	23.95358121	24.50675986	20.31882081	19.18674296	21.60104894	21.31069043	25.25699096	25.281889	24.46500733	22.05513545	22.30120256	18.85407091
Nup62	23.18180255	22.83574435	18.47151646	20.88091673	23.08362216	23.84105368	23.22793787	24.0835897	23.00056606	19.22453874	18.47151646	21.08887104	18.47151646	22.15508379	18.47151646	21.96849384	21.89222854	18.47151646
Nup85	25.80045284	23.98849886	25.51767275	23.56069201	20.56281257	18.45290078	22.2198976	26.69032478	24.58262026	18.45290078	19.48854234	21.68884789	28.56310944	26.56146428	26.58706352	23.93364095	20.35874562	22.38534951
Nup93	25.87623964	25.65165547	21.34418753	22.02113451	25.72935977	25.65072462	27.64883371	27.20787912	24.06964578	25.09067296	23.80360929	22.90091249	22.42344731	24.23877849	22.84739538	24.62745106	24.12321017	22.59087665
Nup98	22.90359945	24.40568008	19.08560731	19.25891102	20.93890762	23.2570989	22.36767709	20.21974992	16.73674544	20.51874151	19.50744238	19.74103241	16.73674544	16.73674544	16.73674544	17.98487457	17.33490174	16.73674544
Nvl	22.99242875	22.87244944	20.34342864	20.73338943	22.11591235	20.7573542	21.27611304	23.0990389	19.04107623	19.04107623	20.55646489	20.04952952	22.29742905	23.30841458	22.18969549	19.04107623	19.04107623	19.04107623
Nxf1	24.17089023	24.25990241	17.40756652	17.40756652	21.85627658	17.41220595	22.18688801	22.27062042	21.33084906	17.40756652	17.40756652	19.104696	22.08173828	23.07900553	22.62424125	21.19291885	20.43226866	19.16174698
Oat	26.20086359	26.14145078	22.68912526	22.32350122	26.36466155	26.24396147	25.94933462	26.63270172	24.95402516	22.96536156	24.16384558	23.66068624	25.46360494	25.68319296	24.27944679	23.35326315	23.74611899	21.54113444
Ogdh	24.49978313	24.319827	22.06315805	23.28545641	26.82335227	26.99636522	26.36235562	26.66925533	25.46319956	24.53658872	24.92361185	24.80921467	25.59343216	25.96945591	25.55294649	24.54674942	24.66703659	21.82462007
Ola1	26.73582868	26.27997806	23.57669377	24.27540274	26.02635357	25.85974936	26.36235562	26.90230721	24.55045324	23.26770911	24.1477906	24.23928852	26.35618839	26.26187598	25.87698899	23.2076483	23.97683678	21.70956682
Ostf1	22.67469572	17.34827862	17.34827862	17.34827862	23.40833907	22.46662616	25.71030281	25.38386748	23.7509302	22.39173446	21.74402572	22.33976412	17.34827862	17.34827862	21.70421437	21.26470603	22.03731369	19.60280758
Otub1	23.54651394	19.49011051	19.49011051	22.29611299	23.70229192	23.5017886	24.2700643	24.48253078	20.17059993	22.99355209	22.77488918	23.42930866	19.49011051	22.19017794	22.52556764	20.57514774	22.23925938	19.49011051
Oxct1	27.6845847	28.24090849	26.67317038	25.38050255	28.55548663	27.45701108	28.09244843	28.35854611	26.03988392	25.06989157	25.74568314	25.2435802	26.39294979	27.27958848	26.88890282	26.37605343	26.37021074	23.76192532
P4hb	28.50763715	28.48918544	25.10461603	25.7407	28.49960067	26.57520834	29.19530724	29.30532552	25.84778245	26.49035661	27.2131741	26.97213228	27.65355635	27.71227236	28.03380676	26.47046364	26.59306166	23.84919127
Pa2g4	29.50608641	29.25808794	27.05796331	27.98255993	29.2172482	29.5958914	30.29985675	30.42442319	28.18461236	28.15537723	28.65034116	28.24340769	28.36436099	28.6427537	28.88596847	27.31094694	27.50445824	25.0362407
Pabpc1	28.30899603	28.60928821	24.93179397	25.9612423	29.76780832	29.5516234	30.4089221	30.83356675	28.52742278	28.1809665	28.50869523	28.82125504	25.23914281	25.16169471	26.00142108	27.1937574	27.64917645	25.08127505
Pabpn1	26.31620556	25.71198366	24.52193106	24.57294119	25.40408883	26.32923465	26.21235789	26.65826357	23.10099656	21.76583481	24.56150798	23.83557089	25.6276737	25.60817449	25.20813968	23.55379614	23.75847292	21.95038076
Pafah1b1	25.60837192	25.60746916	19.7976457	21.57805384	24.11267112	23.85699839	24.50966194	25.22655684	19.7976457	22.91186812	23.14407565	23.90058088	25.87965541	23.77243459	21.58971149	21.33576325	21.80171625	19.7976457
Paics	26.138661	26.63256306	24.93620479	25.15510696	27.31181316	28.07851903	27.99991693	28.65184703	26.87232262	25.63128676	25.78666129	25.87175882	26.90839042	25.31257501	25.24056281	24.84642007	25.20642657	22.89037413
Pamr1	28.99528721	28.05496577	28.79163126	22.5168917	21.82718141	22.10380004	25.83040573	19.07569327	18.9842905	25.58660549	25.50990352	26.71410819	29.59158229	29.49865002	29.65273613	20.67985804	18.9842905	18.9842905
