miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-miR-20b-3p	2.995720088	2.982851238	3.038440115	3.254364133	2.900876615	2.288313753	3.253438001	2.731693389	3.107807932	3.050990561	2.832673458	2.830304805	2.665661395	2.55016289	2.192365764	3.141741872	2.000693131	2.369185665
mmu-miR-503-5p	3.235951488	3.528855511	2.498067809	3.179609522	3.224245551	2.108417919	2.97856815	2.91714606	2.999786985	3.073195174	2.371004286	2.841935039	3.861587725	2.626325024	2.672778954	4.107417553	3.83794699	3.084433154
mmu-miR-503-3p	1.886648578	1.293475506	2.318224036	2.199571066	1.593857181	1.442684686	1.77671835	2.138400944	1.249290038	2.363986065	2.44788938	1.21326867	1.853781888	1.652067616	2.688014339	2.561223064	2.297866551	2.15749694
mmu-miR-301b-5p	5.853886499	5.810232933	5.944345273	5.948988708	5.509364372	5.987280601	5.930174376	5.350927151	5.26311208	5.415264597	5.177684909	4.423849047	4.645449436	4.069719515	4.354448332	3.864557726	3.789211894	4.035623565
mmu-miR-301b-3p	11.35921804	11.43486986	11.23400848	10.78820095	11.26823727	12.18019385	11.93754299	11.24080089	11.7260933	10.77444479	11.36513793	12.16981008	11.26523747	11.70411497	12.01454039	12.09558765	12.07266946	11.77079737
mmu-miR-744-5p	10.74695638	10.71207517	10.5037544	11.33006375	11.37270667	11.42567473	11.20489832	11.29471573	11.28205164	11.35277309	11.37709363	11.06631713	10.98337466	11.27028801	11.04806519	10.67715412	10.75020738	10.86160413
mmu-miR-744-3p	5.690000214	5.701133451	5.723144283	6.269299121	5.241945379	5.301321105	5.125023464	6.032719823	5.683396562	5.657604372	5.809787584	5.286300395	5.706950454	5.788475532	6.004846169	5.745745885	5.804179231	5.730115219
mmu-miR-374b-5p	8.247679386	8.720200326	8.493710518	8.987857305	8.574493137	8.260894596	8.689977078	9.063549359	8.650047164	8.174829235	8.817089132	8.60823211	8.73039247	9.137360963	9.484419227	9.813837318	9.679630882	9.502491482
mmu-miR-592-5p	1.622418298	1.196612061	2.089305669	1.339346315	1.68132334	1.109351575	1.46632619	1.182193069	1.386483633	1.493116497	0.887153496	1.076852654	1.688086911	2.039130132	1.242365467	1.875084079	1.946004491	1.729744845
mmu-miR-1249-5p	1.575758516	1.191548581	1.349698302	1.23277669	0.639618164	1.80336379	1.250101195	1.089056595	0.998474068	0.812996179	1.277584612	2.220791249	1.660366616	1.417632119	0.795240488	0.80935112	1.713585977	1.028207455
mmu-miR-1249-3p	7.420641723	7.888212403	6.942076852	7.786899147	7.974373896	7.877564982	8.129579523	8.034351102	8.03098263	7.079848322	7.878958612	8.000368678	7.021385383	7.242292491	7.542269315	7.240200778	7.300415065	7.000566272
mmu-miR-671-5p	4.950998626	5.116256895	4.821150922	4.476843748	4.871978667	4.948914748	4.836641965	4.550210063	5.081044019	4.819478985	3.520247558	4.654253417	4.50756476	4.098341651	4.351332532	4.214952195	4.518357677	4.159097461
mmu-miR-671-3p	8.62559396	8.505155214	8.648386687	9.008328875	8.530636777	8.54093289	7.912096277	8.563597399	8.582267631	8.943861698	8.890180064	7.870058722	8.106383592	8.218892397	7.990854081	8.069104309	7.843921937	8.258478137
mmu-miR-1843a-5p	4.459546291	4.311145683	5.218631183	4.542155329	4.527041874	4.05417821	4.173620323	4.192772139	4.362460421	5.102238922	4.354111008	4.407836703	4.928627462	4.691585921	4.856030277	4.678851225	4.554089288	5.233523431
mmu-miR-1843a-3p	1.806813773	2.408936889	2.08508252	2.18099304	1.39062425	1.333523182	1.197791719	1.526264453	1.586398316	1.795844747	1.987999212	1.50178229	1.973581542	2.428480173	2.540306684	3.391894161	2.78277831	2.958661938
mmu-miR-3058-5p	2.159461807	1.545631302	1.943505595	2.336625329	1.500644554	2.101699311	1.955741315	1.946080072	1.452111918	1.36783066	1.697685657	0.577263582	1.373796618	1.610896018	1.309658417	1.931172858	1.81359583	0.964990868
mmu-miR-3058-3p	1.699924319	1.744976506	1.867094685	1.704875632	1.056739126	1.172767247	0.98091058	0.706477578	0.709854471	0.924164541	0.506007653	1.202998053	0.83315674	0.513507596	0.724593433	0.900249329	0.773341784	0.738982989
mmu-miR-674-5p	6.73942654	6.817264003	6.767844409	7.190848925	6.776219187	6.112345864	6.007005194	6.561347997	6.354905701	7.133259212	6.269960761	5.908737085	6.378208155	5.840003784	5.875013037	5.084191411	5.261623039	6.266094098
mmu-miR-674-3p	7.842536003	7.910390525	7.616034541	7.930771314	7.795193285	7.514858247	7.602199652	7.640648527	7.75267129	7.448205419	7.749100479	7.180562404	7.191798921	7.507547477	7.411540067	7.200508757	7.298484241	7.380674332
mmu-miR-677-5p	1.320988092	1.163296339	1.010264159	1.564996071	1.583974456	2.040020392	0.843846208	1.839694154	1.07639132	1.969831511	1.877604406	2.122755062	2.412659759	2.864954741	3.112651662	2.116542412	2.784615854	2.853767799
mmu-miR-677-3p	1.438934849	2.231627016	0.942038554	1.078964061	1.021009595	1.844125224	2.171329215	1.183122058	1.544776769	1.271700695	1.505235058	2.658954189	2.197911406	2.355941343	1.775853705	3.530483147	3.030815421	1.845485927
mmu-miR-497-5p	2.731097622	2.140463316	3.026017705	3.473065554	3.29024889	2.983236059	2.883655996	3.211359204	3.415824929	3.58753906	3.736800357	4.124346093	3.28405606	3.848850736	3.745957175	3.631764452	4.000753906	4.211474807
mmu-miR-423-5p	9.820528172	10.03231541	9.676651168	10.04570364	9.986976979	10.6107281	10.67553603	10.29264955	10.46265009	9.862711303	10.40396497	10.85863048	9.938862946	10.20211369	10.20436188	10.55705921	10.00249889	9.896983414
mmu-miR-423-3p	11.0520499	11.04630288	10.8317559	11.21839657	11.47329439	11.90848896	11.39616025	11.2204853	11.54813786	11.18100385	11.45796304	11.57147163	11.44679801	11.66401524	11.33803818	11.54018513	11.35977417	11.63626244
mmu-miR-693-3p	1.552256949	2.354714255	1.374052864	1.645485143	0.91279521	0.466694586	2.065482789	1.096947197	1.371538281	1.35758537	0.709833034	1.205275997	0.674019576	0.51380145	0.93234657	1.200970759	0.975935766	1.102214433
mmu-miR-146b-5p	6.90711006	6.879422757	7.149115559	6.719513326	6.623670107	6.813147399	6.515584151	6.567284266	6.45946351	7.42634226	6.899989908	6.909445106	7.321087102	6.872098405	7.152080818	6.79706185	7.365612663	6.824802367
mmu-miR-146b-3p	1.579858433	1.595764241	1.720984728	1.663893818	0.697573766	1.702509062	1.445357803	1.742081422	0.706964815	1.446014937	1.51750985	1.447894491	1.68445962	1.477156129	1.114739911	1.285117869	0.796756644	1.372784686
mmu-miR-669b-5p	6.841705347	7.045423933	6.759767756	6.789711595	6.995661991	7.324595985	7.075734332	6.771607621	6.987300776	6.539365618	6.307044628	6.995554862	6.64050597	6.380765074	6.791884947	6.417660411	6.372384723	6.375756779
mmu-miR-669b-3p	2.358646553	3.204086382	2.237784354	2.698698003	2.813837871	3.405218737	3.46614999	2.138731512	2.864741664	1.503385172	2.240190526	3.175788391	2.191965471	2.107215719	2.631724	3.0227697	2.770992854	1.959396292
mmu-miR-467b-5p	5.372426075	5.267405092	5.726580794	5.990909555	5.608711396	5.042853204	5.073510022	5.28331018	4.966097404	5.465798468	5.458119778	4.673550855	4.813721814	4.553886014	4.699119229	4.417158623	4.53365879	4.589150343
mmu-miR-669c-5p	5.255601617	5.260742998	5.738321258	5.251955403	5.481840048	5.246520212	5.054204456	5.166123693	5.316620157	5.702885474	5.495190699	5.447597174	5.670175053	5.453158553	5.719506007	5.11516577	5.433484765	5.885447802
mmu-miR-491-5p	1.079565972	1.808133437	1.019735809	1.312493385	1.465939348	0.801482906	1.454988999	1.274323094	1.724241976	0.580644489	1.144638124	1.478936214	1.693038976	1.190770023	1.523494147	2.532383441	1.625712844	1.286863189
