Name	TCGA-A6-3807	TCGA-A6-3808	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00J	TCGA-AA-A00O	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01P	TCGA-AA-A01R	TCGA-AA-A01S	TCGA-AA-A01T	TCGA-AA-A01V	TCGA-AA-A01X	TCGA-AA-A01Z	TCGA-AA-A022	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02O	TCGA-AA-A02R	TCGA-AA-A02Y	TCGA-AA-A03F	TCGA-AA-A03J
ARFGEF1	25.079	21.7939	21.6832	22.8661	16.5233	23.9937	26.1128	24.8829	21.9756	25.3357	23.4505	24.3245	24.194	20.7419	23.9652	24.4683	20.942	16.5233	16.5233	26.4313	23.3113	23.2312	23.4067	22.149	24.6665	24.8405	24.3226	16.5233	21.6204	23.2688	24.1786	25.3848	25.1154	22.8746	23.7979	21.5393	16.5233	20.4984	26.1363	23.3713	19.6697	23.6812	23.8762	22.5495	24.2135	25.9967	24.022
ARFGEF2	25.3571	25.7137	22.3541	22.4342	22.627	24.3462	24.0986	27.0624	16.9253	24.065	23.5735	22.8958	20.5725	25.1065	23.2837	23.2001	22.3035	16.9253	20.6231	25.7614	26.7557	22.0952	24.7589	20.7601	28.4181	23.9266	23.4598	22.3994	20.6682	23.7636	23.9882	24.5524	25.9404	23.6467	23.5643	16.9253	21.2203	22.7633	25.3963	19.3253	26.1058	19.7762	24.1796	20.9204	23.9693	31.5189	25.0124
ARFIP1	27.3519	24.9359	26.3045	26.4927	25.9078	25.9849	26.9549	26.5892	25.962	26.3889	26.6294	26.6531	25.5996	26.944	25.9579	26.6918	26.9741	20.171	25.8411	28.0597	27.7971	25.535	26.8512	24.9611	26.6717	27.3862	26.9072	23.0817	24.2	25.867	27.4992	25.4597	27.7338	27.5916	24.9765	26.3261	25.7692	25.0309	27.4137	25.2617	25.4915	23.9136	26.8465	25.8939	26.8831	28.0668	26.4119
ARHGAP1	29.1663	29.5181	28.474	28.9451	27.3979	28.7708	29.788	29.597	28.2075	28.6888	29.1934	28.6466	27.4651	27.73	28.8493	28.866	28.8555	26.0483	29.3209	30.5247	29.1165	27.2397	28.5038	27.3916	30.0639	27.9537	28.6116	27.938	24.6029	29.9533	28.7063	27.145	28.4128	29.4826	28.3103	24.49	27.474	27.9341	27.8617	27.8185	27.4868	27.2675	28.6019	29.0596	27.8681	29.3349	27.2756
ARHGAP17	24.8038	24.148	23.2791	24.4671	21.1398	21.3585	25.249	25.3781	23.9877	24.2575	24.172	21.9744	22.3337	24.5289	23.5104	24.0759	23.7939	19.9241	23.3751	26.7115	23.5344	23.6286	25.051	19.9241	24.6047	22.7811	24.1109	22.2121	24.4955	25.2774	24.2386	22.4926	24.737	24.6241	21.8676	19.9241	23.7897	22.5252	23.5318	20.7784	23.4269	23.5799	22.712	23.8228	23.1332	22.6613	23.3707
ARHGAP18	23.3253	23.9336	23.9171	25.1945	24.0042	24.7377	25.8305	26.9249	23.304	24.9257	24.3055	26.0891	23.5399	24.5488	23.7296	25.1826	22.95	19.9682	23.7	27.0646	24.5669	23.229	25.8561	22.4872	24.8882	24.2826	24.293	23.0453	22.8844	23.4181	24.0158	24.6053	26.1792	25.4133	23.9498	17.0655	22.3563	23.7082	24.9337	23.3649	23.6762	22.9658	24.1021	22.5043	24.4391	25.5201	23.8089
ARHGDIA	27.0072	28.2842	26.7594	27.8564	26.904	28.0135	29.2958	29.3207	27.1478	26.0567	27.2947	26.5496	25.1204	28.5506	27.5142	29.1113	29.2352	25.0338	28.3439	29.0175	28.7666	27.9776	27.2878	26.8564	29.9844	27.9962	28.0523	25.9623	25.1558	28.2366	28.2621	28.5818	28.5407	28.6434	27.4233	30.4798	27.5487	26.8856	29.1431	26.5484	28.541	25.6674	27.8082	28.7864	28.2487	29.2716	27.77
ARHGDIB	27.0673	32.7439	26.5616	28.6115	27.6802	28.5508	28.5045	26.2687	27.7155	25.8701	28.3826	26.2577	25.2553	27.2771	27.8044	27.4491	28.6664	25.9348	26.4212	28.9049	27.0668	28.1161	27.0188	25.4673	28.2812	26.3128	28.8103	25.886	25.1878	29.9296	29.274	26.5411	27.9313	29.5364	27.0319	29.4749	26.4326	25.0923	28.111	26.3618	27.7101	24.1284	27.0017	28.1437	27.2652	28.9635	26.8323
ARHGEF1	25.8301	22.6768	25.2056	26.6036	25.9935	24.6552	26.0481	26.566	18.9472	24.7559	25.2135	24.9587	23.9484	26.5253	24.9339	25.7829	26.0325	23.1973	23.9586	26.9658	25.9115	23.5952	24.9763	23.4444	26.0226	24.8866	32.4589	23.0359	23.6755	25.7413	26.4574	24.4692	25.6605	26.3425	24.4101	18.9472	24.4601	25.4837	25.3721	23.7544	23.9414	20.423	23.6721	24.5128	24.454	25.5618	25.4701
ARHGEF2	23.726	23.1591	22.8593	29.1317	24.2048	22.4971	23.3444	24.681	19.5655	23.5671	23.6443	23.3886	25.4617	24.9871	23.7381	19.5655	23.1827	19.5655	19.5655	24.1537	19.5655	22.5432	23.6622	21.4797	23.2239	19.5655	21.8022	20.6546	22.0531	22.8385	23.9915	22.6216	22.977	24.7271	24.2574	19.5655	23.6481	19.5655	19.5655	26.8961	22.6433	22.0277	19.5655	20.8199	22.9052	22.2007	21.8147
