miRNA	Gene	Input
mmu-miR-466m-3p	Hook3	-1
mmu-miR-466m-3p	Akap7	-1
mmu-miR-466m-3p	Gsk3b	-1
mmu-miR-466m-3p	Cdh11	-1
mmu-miR-466m-3p	Fbxl17	-1
mmu-miR-466m-3p	Ptgdr	-1
mmu-miR-466m-3p	Slfn4	-1
mmu-miR-466m-3p	Clic5	-1
mmu-miR-466m-3p	Dennd1b	-1
mmu-miR-466m-3p	Zfp874b	-1
mmu-miR-466m-3p	Aspm	-1
mmu-miR-466m-3p	Zfp715	-1
mmu-miR-466m-3p	Tpgs2	-1
mmu-miR-466m-3p	Tbcel	-1
mmu-miR-466m-3p	Lrrtm2	-1
mmu-miR-466m-3p	Lin28b	-1
mmu-miR-466m-3p	Nampt	-1
mmu-miR-466m-3p	Klf6	-1
mmu-miR-466m-3p	Pbrm1	-1
mmu-miR-466m-3p	Olfr658	-1
mmu-miR-466m-3p	Nwd2	-1
mmu-miR-466m-3p	Atoh1	-1
mmu-miR-466m-3p	Zxdb	-1
mmu-miR-466m-3p	Dennd4a	-1
mmu-miR-7117-5p	Agap1	-1
mmu-miR-7117-5p	Kctd12	-1
mmu-miR-7117-5p	Dagla	-1
mmu-miR-7117-5p	Pacsin1	-1
mmu-miR-7117-5p	Dusp9	-1
mmu-miR-7117-5p	Zfp704	-1
mmu-miR-7117-5p	Fam163b	-1
mmu-miR-7117-5p	Usp21	-1
mmu-miR-3569-3p	Prkar1a	-1
mmu-miR-3569-3p	Cntnap2	-1
mmu-miR-3569-3p	Slc6a1	-1
mmu-miR-3569-3p	Fbxw7	-1
mmu-miR-3569-3p	Chfr	-1
mmu-miR-3569-3p	Appl1	-1
mmu-miR-3100-3p	Grik2	-1
mmu-miR-3100-3p	Spata6	-1
mmu-miR-3100-3p	Rit1	-1
mmu-miR-3100-3p	Golm1	-1
mmu-miR-3100-3p	Cyp4a31	-1
mmu-miR-7015-5p	Palld	-1
mmu-miR-7015-5p	Pknox1	-1
