TF	TG	Input
lrp	thrB	1
lrp	thrC	1
lrp	thrL	1
lrp	thrA	1
lrp	thrB	1
lrp	thrC	1
lrp	leuD	1
lrp	leuD	1
lrp	leuC	1
lrp	leuC	1
lrp	leuB	1
lrp	leuB	1
lrp	leuA	1
lrp	leuA	1
lrp	leuL	1
lrp	leuL	1
lrp	ilvI	1
lrp	ilvH	1
lrp	ilvI	1
lrp	ilvH	1
lrp	ilvI	1
lrp	ilvH	1
lrp	ilvI	1
lrp	ilvH	1
lrp	ftsQ	1
lrp	ftsA	1
lrp	ftsZ	1
lrp	yadV	1
lrp	htrE	1
lrp	yadV	1
lrp	htrE	1
lrp	rrsH	1
lrp	ileV	1
lrp	alaV	1
lrp	rrlH	1
lrp	rrfH	1
lrp	pepD	1
lrp	pepD	1
lrp	ecpR	1
lrp	ecpR	1
lrp	ykgE	1
lrp	ykgE	1
lrp	ykgF	1
lrp	ykgF	1
lrp	ykgG	1
lrp	ykgG	1
lrp	brnQ	1
lrp	brnQ	1
lrp	proY	1
lrp	proY	1
lrp	ribE	1
lrp	ribE	1
lrp	nusB	1
lrp	nusB	1
lrp	ompT	1
lrp	ompT	1
lrp	ybgS	1
lrp	ybgS	1
lrp	aroG	1
lrp	aroG	1
lrp	ybhN	1
lrp	ybhN	1
lrp	clsB	1
lrp	clsB	1
lrp	ybhP	1
lrp	ybhP	1
lrp	ybiJ	1
lrp	ybiJ	1
lrp	potF	1
lrp	potG	1
lrp	potH	1
lrp	potI	1
lrp	potF	1
lrp	potG	1
lrp	potH	1
lrp	potI	1
lrp	artM	1
lrp	artM	1
lrp	artQ	1
lrp	artQ	1
lrp	artI	1
lrp	artI	1
lrp	artP	1
lrp	artP	1
lrp	ybjS	1
lrp	ybjS	1
lrp	lrp	1
lrp	ycaM	1
lrp	ycaM	1
lrp	serC	1
lrp	aroA	1
lrp	serC	1
lrp	aroA	1
lrp	serC	1
lrp	aroA	1
lrp	aspC	1
lrp	aspC	1
lrp	yceB	1
lrp	yceB	1
lrp	lolC	1
lrp	lolC	1
lrp	lolD	1
lrp	lolD	1
lrp	lolE	1
lrp	lolE	1
lrp	nagK	1
lrp	nagK	1
lrp	ycgH_1	1
lrp	ycgH_1	1
lrp	ycgH_2	1
lrp	ycgH_2	1
lrp	dadA	1
lrp	dadA	1
lrp	dadA	1
lrp	dadX	1
lrp	dadX	1
lrp	dadX	1
lrp	dhaM	1
lrp	dhaM	1
lrp	dhaL	1
lrp	dhaL	1
lrp	dhaK	1
lrp	dhaK	1
lrp	adhE	1
lrp	adhE	1
lrp	adhE	1
lrp	oppA	1
lrp	oppA	1
lrp	oppA	1
lrp	oppB	1
lrp	oppB	1
lrp	oppB	1
lrp	oppC	1
lrp	oppC	1
lrp	oppC	1
lrp	oppD	1
lrp	oppD	1
lrp	oppD	1
lrp	oppF	1
lrp	oppF	1
lrp	oppF	1
lrp	yciN	1
lrp	yciN	1
lrp	yciT	1
lrp	yciT	1
lrp	tyrR	1
lrp	tyrR	1
lrp	uspE	1
lrp	uspE	1
lrp	osmC	1
lrp	osmC	1
lrp	ydeN	1
lrp	ydgI	1
lrp	ydgI	1
lrp	folM	1
lrp	folM	1
lrp	dtpA	1
lrp	dtpA	1
lrp	astE	1
lrp	astE	1
lrp	astB	1
lrp	astB	1
lrp	astD	1
lrp	astD	1
lrp	astA	1
lrp	astA	1
lrp	astC	1
lrp	astC	1
lrp	leuE	1
lrp	leuE	1
lrp	leuE	1
lrp	sdaA	1
lrp	sdaA	1
lrp	sdaA	1
lrp	tyrP	1
lrp	tyrP	1
lrp	yodC	1
lrp	yodC	1
lrp	yeeD	1
lrp	yeeD	1
lrp	yeeE	1
lrp	yeeE	1
lrp	yehL	1
lrp	yehL	1
lrp	yehM	1
lrp	yehM	1
lrp	yehP	1
lrp	yehP	1
lrp	yehQ	1
lrp	yehQ	1
lrp	lysP	1
lrp	yeiL	1
lrp	mepS	1
lrp	mepS	1
lrp	napC	1
lrp	napC	1
lrp	napB	1
lrp	napB	1
lrp	napH	1
lrp	napH	1
lrp	napG	1
lrp	napG	1
lrp	napA	1
lrp	napA	1
lrp	napD	1
lrp	napD	1
lrp	napF	1
lrp	napF	1
lrp	eco	1
lrp	eco	1
lrp	mqo	1
lrp	mqo	1
lrp	yojI	1
lrp	ompC	1
lrp	lrhA	1
lrp	lrhA	1
lrp	alaA	1
lrp	alaA	1
lrp	alaA	1
lrp	yfcC	1
lrp	yfcC	1
lrp	fadJ	1
lrp	fadI	1
lrp	yfcZ	1
lrp	yfcZ	1
lrp	yffQ	1
lrp	yffQ	1
lrp	yffR	1
lrp	yffR	1
lrp	upp	1
lrp	uraA	1
lrp	purM	1
lrp	purN	1
lrp	ppx	1
lrp	ppx	1
lrp	csiE	1
lrp	csiE	1
lrp	rrfG	1
lrp	rrlG	1
lrp	gltW	1
lrp	rrsG	1
lrp	csiD	1
lrp	lhgO	1
lrp	gabD	1
lrp	gabT	1
lrp	gabP	1
lrp	stpA	1
lrp	stpA	1
lrp	stpA	1
lrp	sdaC	1
lrp	sdaC	1
lrp	sdaB	1
lrp	sdaB	1
lrp	yqeF	1
lrp	yqeF	1
lrp	gcvP	1
lrp	gcvP	1
lrp	gcvH	1
lrp	gcvH	1
lrp	gcvT	1
