TF	TG	Input
Dmap1	Bmi1	1
Dmbx1	Crx	1
Dmbx1	Otx1	1
Dmbx1	Otx2	1
Dmp1	Trp53	1
Dmrt1	Sox2	1
Dmrt2	Myf5	1
Dmtf1	Areg	1
Dmtf1	Ccnd2	1
Dmtf1	Cdkn2a	1
Dmtf1	Cdkn2a	1
Dmtf1	Egr1	1
Dmtf1	Ets1	1
Dmtf1	Ets2	1
Dmtf1	Junb	1
Dmtf1	Tsp1	1
Dnajc2	Id1	1
Dnmt1	Cdkn1a	1
Dnmt1	Dnmt1	1
Dnmt1	Mt1	1
Dnmt1	Epcam	1
Dnmt1	Trp53	1
Dnmt3a	Dpp6	1
Dnmt3a	Ifng	1
Dnmt3a	Mdm2	1
Dnmt3a	Mt1	1
Dnmt3a	Nanog	1
Dnmt3a	Pou5f1	1
Dnmt3a	Rb1	1
Dnmt3a	Vtn	1
Dnmt3a	Vtn	1
Dnmt3b	Nanog	1
Dnmt3b	Pou5f1	1
Dnmt3b	Vtn	1
Dot1l	Scnn1a	1
Dtx1	Smarcc1	1
E2f1	Apaf1	1
E2f1	Atm	1
E2f1	Atp6v1e2	1
E2f1	Bcl2	1
E2f1	Bid	1
E2f1	Bin1	1
E2f1	Bmi1	1
E2f1	Ccna2	1
E2f1	Ccnd1	1
E2f1	Ccnd1	1
E2f1	Cdkn1a	1
E2f1	Cdkn2a	1
E2f1	Cdkn2a	1
E2f1	Cdkn2c	1
E2f1	Ddb2	1
E2f1	Dhfr	1
E2f1	Dlx1	1
E2f1	Dlx2	1
E2f1	Dnmt1	1
E2f1	Dnmt1	1
E2f1	Egr1	1
E2f1	Fbn2	1
E2f1	Gins3	1
E2f1	Hinfp	1
E2f1	Hmga1	1
E2f1	Mcl1	1
E2f1	Mcm8	1
E2f1	Mertk	1
E2f1	Mxd3	1
E2f1	Mycn	1
E2f1	Mycn	1
E2f1	Myh10	1
E2f1	Nfe2l2	1
E2f1	Nfkb1	1
E2f1	Nos2	1
E2f1	Nox4	1
E2f1	Npat	1
E2f1	Nrp1	1
E2f1	Pcna	1
E2f1	Pdgfra	1
E2f1	Pdk4	1
E2f1	Pola1	1
E2f1	Pura	1
E2f1	Rb1	1
E2f1	Siva1	1
E2f1	Tapbp	1
